School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
157809,Thomas More University,19,30,1497.0,1443.0,31001133.0,33220333.0,5780.0,6817.0,6669.0
157863,Union College,20,71,977.0,3129.0,19001577.0,31796460.0,4475.0,5694.0,5304.0
158802,Dillard University,21,71,1209.0,7515.0,39044540.0,95653436.0,8628.0,7528.0,6372.0
159568,Louisiana Christian University,20,75,954.0,583.0,20432516.0,43291657.0,5431.0,8949.0,6448.0
160904,Xavier University of Louisiana,20,30,3386.0,3900.0,132324134.0,170871174.0,15108.0,9875.0,5655.0
160959,College of the Atlantic,21,-2,360.0,5029.0,25115455.0,77106414.0,7403.0,16734.0,6157.0
161509,Maine College of Art & Design,30,-2,426.0,2924.0,14716040.0,15489525.0,11071.0,15293.0,5256.0
161518,Saint Joseph's College of Maine,18,30,1324.0,1039.0,28421655.0,16482838.0,6170.0,7375.0,6883.0
161563,Thomas College,20,-2,1156.0,1797.0,18560668.0,21046818.0,3696.0,4453.0,5565.0
162654,Goucher College,21,-2,1400.0,4442.0,55966000.0,239770000.0,11923.0,15642.0,7666.0
162760,Hood College,18,-2,1603.0,2957.0,45986952.0,124802106.0,8384.0,10790.0,6556.0
163578,Notre Dame of Maryland University,18,30,1323.0,1580.0,42032549.0,48012466.0,8416.0,15555.0,5981.0
163976,St. John's College,21,-2,602.0,2894.0,24059016.0,158213539.0,12365.0,14954.0,9752.0
164173,Stevenson University,18,-2,3133.0,353.0,76438665.0,106097046.0,6558.0,10313.0,7175.0
164270,McDaniel College,18,-2,2464.0,1305.0,58095000.0,138625000.0,6516.0,9886.0,5567.0
164447,American International College,18,-2,1953.0,509.0,47296181.0,31895135.0,9345.0,6746.0,7618.0
164492,Anna Maria College,19,30,1167.0,1120.0,28860935.0,1410071.0,5303.0,7749.0,9796.0
164562,Assumption University,19,30,2140.0,3064.0,54658707.0,102793975.0,3162.0,12772.0,6543.0
165167,Cambridge College,18,-2,1363.0,5344.0,36267473.0,42938391.0,6998.0,6549.0,7717.0
165529,Curry College,19,-2,1969.0,2879.0,67134077.0,88342735.0,5293.0,15141.0,10782.0
165574,Dean College,23,-2,1168.0,3266.0,35267432.0,62873147.0,8774.0,7832.0,10323.0
165644,Eastern Nazarene College,22,59,526.0,836.0,17395064.0,18639692.0,8730.0,6739.0,7861.0
165671,Emmanuel College,21,30,2046.0,2836.0,63188299.0,166862151.0,9569.0,11428.0,7051.0
165936,Gordon College,21,42,1562.0,1758.0,41882690.0,105587979.0,6686.0,10434.0,7465.0
166391,Lasell University,19,-2,1559.0,1760.0,42988396.0,36701339.0,6325.0,10206.0,8516.0
166911,Montserrat College of Art,30,-2,287.0,2969.0,9917074.0,3510374.0,13942.0,10726.0,6918.0
167260,Nichols College,29,-2,1292.0,3045.0,33783473.0,30234512.0,6061.0,7136.0,9219.0
167899,Springfield College,18,-2,2891.0,1164.0,79839431.0,99125167.0,5752.0,13744.0,5747.0
